TIME,LATITUDE,LONGITUDE,RAINFALL,MAX_TEMP
2024-11-05,21.5,87.5,,30.86494
2024-11-05,22.5,81.5,0.0,31.130144
2024-11-05,22.5,82.5,0.0,30.947119
2024-11-05,22.5,83.5,0.0,30.698322
2024-11-05,22.5,84.5,0.0,30.92461
2024-11-05,22.5,85.5,0.0,31.280737
2024-11-05,22.5,86.5,0.0,30.97046
2024-11-05,22.5,87.5,0.0,31.041779
2024-11-06,17.5,81.5,0.0,31.679226
2024-11-06,17.5,82.5,0.0,31.167578
2024-11-06,17.5,83.5,,31.3323
2024-11-06,17.5,84.5,,
2024-11-06,17.5,85.5,,
2024-11-06,17.5,86.5,,
2024-11-06,17.5,87.5,,
2024-11-06,18.5,81.5,0.0,31.809418
2024-11-06,18.5,82.5,0.0,31.037767
2024-11-06,18.5,83.5,0.0,31.057474
2024-11-06,18.5,84.5,,31.4502
2024-11-06,18.5,85.5,,
2024-11-06,18.5,86.5,,
2024-11-06,18.5,87.5,,
2024-11-06,19.5,81.5,0.0,31.794954
2024-11-06,19.5,82.5,0.0,30.573423
2024-11-06,19.5,83.5,0.0,31.207357
2024-11-06,19.5,84.5,0.0,31.2346
2024-11-06,19.5,85.5,,31.110352
2024-11-06,19.5,86.5,,
2024-11-06,19.5,87.5,,
2024-11-06,20.5,81.5,0.0,30.891645
2024-11-06,20.5,82.5,0.0,31.588955
2024-11-06,20.5,83.5,0.0,31.49399
2024-11-06,20.5,84.5,0.0,31.229263
2024-11-06,20.5,85.5,0.0,31.037212
2024-11-06,20.5,86.5,0.856099,31.030788
2024-11-06,20.5,87.5,,
2024-11-06,21.5,81.5,0.0,31.449926
2024-11-06,21.5,82.5,0.0,31.454039
2024-11-06,21.5,83.5,0.0,31.197666
2024-11-06,21.5,84.5,0.0,30.896444
2024-11-06,21.5,85.5,0.0,31.319675
2024-11-06,21.5,86.5,0.0,31.181145
2024-11-06,21.5,87.5,,31.14685
2024-11-06,22.5,81.5,0.0,30.804163
2024-11-06,22.5,82.5,0.0,30.752857
2024-11-06,22.5,83.5,0.0,30.502573
2024-11-06,22.5,84.5,0.0,30.661905
2024-11-06,22.5,85.5,0.0,31.260567
2024-11-06,22.5,86.5,0.0,31.022701
2024-11-06,22.5,87.5,3.8831139,31.171827
2024-11-07,17.5,81.5,0.0,31.913916
2024-11-07,17.5,82.5,0.0,31.417519
2024-11-07,17.5,83.5,,31.456512
2024-11-07,17.5,84.5,,
2024-11-07,17.5,85.5,,
2024-11-07,17.5,86.5,,
2024-11-07,17.5,87.5,,
2024-11-07,18.5,81.5,0.0,31.682844
2024-11-07,18.5,82.5,0.0,31.267996
2024-11-07,18.5,83.5,0.0,31.28141
2024-11-07,18.5,84.5,,31.679611
2024-11-07,18.5,85.5,,
2024-11-07,18.5,86.5,,
2024-11-07,18.5,87.5,,
2024-11-07,19.5,81.5,0.0,31.556032
2024-11-07,19.5,82.5,0.0,30.57132
2024-11-07,19.5,83.5,0.0,31.388187
2024-11-07,19.5,84.5,0.9614297,31.575418
2024-11-07,19.5,85.5,,31.528816
2024-11-07,19.5,86.5,,
2024-11-07,19.5,87.5,,
2024-11-07,20.5,81.5,0.0,30.960754
2024-11-07,20.5,82.5,0.0,31.859005
2024-11-07,20.5,83.5,0.0,31.848654
2024-11-07,20.5,84.5,0.0,31.53784
2024-11-07,20.5,85.5,0.0,31.361734
2024-11-07,20.5,86.5,0.0,31.518705
2024-11-07,20.5,87.5,,
2024-11-07,21.5,81.5,0.0,31.787825
2024-11-07,21.5,82.5,0.0,31.708776
2024-11-07,21.5,83.5,0.0,31.538944
2024-11-07,21.5,84.5,0.0,31.491951
2024-11-07,21.5,85.5,0.0,31.887854
2024-11-07,21.5,86.5,0.0,31.54306
2024-11-07,21.5,87.5,,31.375565
2024-11-07,22.5,81.5,0.0,31.189936
2024-11-07,22.5,82.5,0.0,31.14929
2024-11-07,22.5,83.5,0.0,30.920395
2024-11-07,22.5,84.5,0.0,31.177511
2024-11-07,22.5,85.5,0.0,31.71659
2024-11-07,22.5,86.5,0.0,31.431187
2024-11-07,22.5,87.5,0.0,31.302263
2024-11-08,17.5,81.5,0.0,31.58001
2024-11-08,17.5,82.5,0.0,31.485214
2024-11-08,17.5,83.5,,31.445526
2024-11-08,17.5,84.5,,
2024-11-08,17.5,85.5,,
2024-11-08,17.5,86.5,,
2024-11-08,17.5,87.5,,
2024-11-08,18.5,81.5,0.0,31.675251
2024-11-08,18.5,82.5,0.0,31.438353
2024-11-08,18.5,83.5,0.0,31.463335
2024-11-08,18.5,84.5,,31.813814
2024-11-08,18.5,85.5,,
2024-11-08,18.5,86.5,,
2024-11-08,18.5,87.5,,
2024-11-08,19.5,81.5,0.0,31.586975
2024-11-08,19.5,82.5,0.0,30.857933
2024-11-08,19.5,83.5,0.0,31.677279
2024-11-08,19.5,84.5,0.0,31.80334
2024-11-08,19.5,85.5,,31.5848
2024-11-08,19.5,86.5,,
2024-11-08,19.5,87.5,,
2024-11-08,20.5,81.5,0.0,31.165045
2024-11-08,20.5,82.5,0.0,32.253647
2024-11-08,20.5,83.5,0.0,32.321438
2024-11-08,20.5,84.5,0.0,31.917507
2024-11-08,20.5,85.5,0.0,31.407341
2024-11-08,20.5,86.5,0.0,31.529997
2024-11-08,20.5,87.5,,
2024-11-08,21.5,81.5,0.0,31.82452
2024-11-08,21.5,82.5,0.0,31.861952
2024-11-08,21.5,83.5,0.0,31.849707
2024-11-08,21.5,84.5,0.0,31.706999
2024-11-08,21.5,85.5,0.0,31.713198
2024-11-08,21.5,86.5,0.0,31.456566
2024-11-08,21.5,87.5,,31.292246
2024-11-08,22.5,81.5,0.0,31.196053
2024-11-08,22.5,82.5,0.0,31.058514
2024-11-08,22.5,83.5,0.0,30.88636
2024-11-08,22.5,84.5,0.0,31.168118
2024-11-08,22.5,85.5,0.0,31.589039
2024-11-08,22.5,86.5,0.0,31.16658
2024-11-08,22.5,87.5,0.0,31.163315
2024-11-09,17.5,81.5,0.0,32.190163
2024-11-09,17.5,82.5,0.0,31.611738
2024-11-09,17.5,83.5,,31.522194
2024-11-09,17.5,84.5,,
2024-11-09,17.5,85.5,,
2024-11-09,17.5,86.5,,
2024-11-09,17.5,87.5,,
2024-11-09,18.5,81.5,0.0,32.15066
2024-11-09,18.5,82.5,0.0,31.556728
2024-11-09,18.5,83.5,0.0,31.346989
2024-11-09,18.5,84.5,,31.701204
2024-11-09,18.5,85.5,,
2024-11-09,18.5,86.5,,
2024-11-09,18.5,87.5,,
2024-11-09,19.5,81.5,0.0,32.25703
2024-11-09,19.5,82.5,0.0,30.918137
2024-11-09,19.5,83.5,0.0,31.374548
2024-11-09,19.5,84.5,0.0,31.333282
2024-11-09,19.5,85.5,,31.377481
2024-11-09,19.5,86.5,,
2024-11-09,19.5,87.5,,
2024-11-09,20.5,81.5,0.0,30.847795
2024-11-09,20.5,82.5,0.0,31.64551
2024-11-09,20.5,83.5,0.0,31.507668
2024-11-09,20.5,84.5,0.0,31.414536
2024-11-09,20.5,85.5,0.0,31.340631
2024-11-09,20.5,86.5,0.0,31.230265
2024-11-09,20.5,87.5,,
2024-11-09,21.5,81.5,0.0,31.21097
2024-11-09,21.5,82.5,0.0,31.242844
2024-11-09,21.5,83.5,0.0,31.139204
2024-11-09,21.5,84.5,0.0,31.19506
2024-11-09,21.5,85.5,0.0,31.4985
2024-11-09,21.5,86.5,0.0,31.471128
2024-11-09,21.5,87.5,,31.102043
2024-11-09,22.5,81.5,0.0,30.743212
2024-11-09,22.5,82.5,0.0,30.876158
2024-11-09,22.5,83.5,0.0,30.497904
2024-11-09,22.5,84.5,0.0,31.04946
2024-11-09,22.5,85.5,0.0,31.460007
2024-11-09,22.5,86.5,0.0,31.174171
2024-11-09,22.5,87.5,0.0,31.036528
2024-11-10,17.5,81.5,0.0,31.649874
2024-11-10,17.5,82.5,0.0,31.289913
2024-11-10,17.5,83.5,,31.106146
2024-11-10,17.5,84.5,,
2024-11-10,17.5,85.5,,
2024-11-10,17.5,86.5,,
2024-11-10,17.5,87.5,,
2024-11-10,18.5,81.5,0.0,31.34824
2024-11-10,18.5,82.5,0.0,30.96289
2024-11-10,18.5,83.5,0.0,30.753326
2024-11-10,18.5,84.5,,31.237638
2024-11-10,18.5,85.5,,
2024-11-10,18.5,86.5,,
2024-11-10,18.5,87.5,,
2024-11-10,19.5,81.5,0.0,31.218702
2024-11-10,19.5,82.5,0.0,30.207394
2024-11-10,19.5,83.5,0.0,30.92641
2024-11-10,19.5,84.5,0.0,31.042757
2024-11-10,19.5,85.5,,31.280836
2024-11-10,19.5,86.5,,
2024-11-10,19.5,87.5,,
2024-11-10,20.5,81.5,0.0,29.79437
2024-11-10,20.5,82.5,0.0,30.898418
2024-11-10,20.5,83.5,0.0,30.846909
2024-11-10,20.5,84.5,0.0,31.068306
